GPU Memory Track | 30-Apr-23-11:05:15 | Total Tensor Used Memory:376.7  Mb Total Allocated Memory:422.0  Mb

+ | 9 * Size:()                   | Memory: 3.4332 M | <class 'torch.Tensor'> | torch.float32
+ | 28 * Size:(128, 512, 1, 1)     | Memory: 7.0 M | <class 'torch.Tensor'> | torch.float32
+ | 84 * Size:(128, 512, 4, 4)     | Memory: 336.0 M | <class 'torch.Tensor'> | torch.float32
+ | 28 * Size:(128, 512)           | Memory: 7.0 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(128, 256, 8, 8)     | Memory: 896.0 M | <class 'torch.Tensor'> | torch.float32
- | 81 * Size:(128, 512, 4, 4)     | Memory: 324.0 M | <class 'torch.Tensor'> | torch.float32
- | 108 * Size:(128, 128, 16, 16)   | Memory: 1728.0 M | <class 'torch.Tensor'> | torch.float32
- | 28 * Size:(128, 3, 32, 32)     | Memory: 42.0 M | <class 'torch.Tensor'> | torch.float32
- | 108 * Size:(128, 256, 8, 8)     | Memory: 864.0 M | <class 'torch.Tensor'> | torch.float32
- | 27 * Size:(128, 512, 1, 1)     | Memory: 6.75 M | <class 'torch.Tensor'> | torch.float32
- | 27 * Size:(128, 512)           | Memory: 6.75 M | <class 'torch.Tensor'> | torch.float32
- | 135 * Size:(128, 64, 32, 32)    | Memory: 4320.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:7709.5 Mb Total Allocated Memory:7718.2 Mb

+ | 30 * Size:(128, 3, 32, 32)     | Memory: 45.0 M | <class 'torch.Tensor'> | torch.float32
+ | 145 * Size:(128, 64, 32, 32)    | Memory: 4640.0 M | <class 'torch.Tensor'> | torch.float32
+ | 116 * Size:(128, 256, 8, 8)     | Memory: 928.0 M | <class 'torch.Tensor'> | torch.float32
+ | 29 * Size:(128, 512)           | Memory: 7.25 M | <class 'torch.Tensor'> | torch.float32
+ | 116 * Size:(128, 128, 16, 16)   | Memory: 1856.0 M | <class 'torch.Tensor'> | torch.float32
+ | 87 * Size:(128, 512, 4, 4)     | Memory: 348.0 M | <class 'torch.Tensor'> | torch.float32
+ | 29 * Size:(128, 512, 1, 1)     | Memory: 7.25 M | <class 'torch.Tensor'> | torch.float32
- | 29 * Size:(128, 3, 32, 32)     | Memory: 43.5 M | <class 'torch.Tensor'> | torch.float32
- | 140 * Size:(128, 64, 32, 32)    | Memory: 4480.0 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(128, 128, 16, 16)   | Memory: 1792.0 M | <class 'torch.Tensor'> | torch.float32
- | 28 * Size:(128, 512, 1, 1)     | Memory: 7.0 M | <class 'torch.Tensor'> | torch.float32
- | 84 * Size:(128, 512, 4, 4)     | Memory: 336.0 M | <class 'torch.Tensor'> | torch.float32
- | 28 * Size:(128, 512)           | Memory: 7.0 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(128, 256, 8, 8)     | Memory: 896.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:7979.5 Mb Total Allocated Memory:7988.5 Mb

+ | 120 * Size:(128, 128, 16, 16)   | Memory: 1920.0 M | <class 'torch.Tensor'> | torch.float32
+ | 30 * Size:(128, 512)           | Memory: 7.5 M | <class 'torch.Tensor'> | torch.float32
+ | 90 * Size:(128, 512, 4, 4)     | Memory: 360.0 M | <class 'torch.Tensor'> | torch.float32
+ | 120 * Size:(128, 256, 8, 8)     | Memory: 960.0 M | <class 'torch.Tensor'> | torch.float32
+ | 31 * Size:(128, 3, 32, 32)     | Memory: 46.5 M | <class 'torch.Tensor'> | torch.float32
+ | 150 * Size:(128, 64, 32, 32)    | Memory: 4800.0 M | <class 'torch.Tensor'> | torch.float32
+ | 30 * Size:(128, 512, 1, 1)     | Memory: 7.5 M | <class 'torch.Tensor'> | torch.float32
- | 30 * Size:(128, 3, 32, 32)     | Memory: 45.0 M | <class 'torch.Tensor'> | torch.float32
- | 145 * Size:(128, 64, 32, 32)    | Memory: 4640.0 M | <class 'torch.Tensor'> | torch.float32
- | 116 * Size:(128, 256, 8, 8)     | Memory: 928.0 M | <class 'torch.Tensor'> | torch.float32
- | 29 * Size:(128, 512)           | Memory: 7.25 M | <class 'torch.Tensor'> | torch.float32
- | 116 * Size:(128, 128, 16, 16)   | Memory: 1856.0 M | <class 'torch.Tensor'> | torch.float32
- | 87 * Size:(128, 512, 4, 4)     | Memory: 348.0 M | <class 'torch.Tensor'> | torch.float32
- | 29 * Size:(128, 512, 1, 1)     | Memory: 7.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:8249.5 Mb Total Allocated Memory:8258.7 Mb

+ | 93 * Size:(128, 512, 4, 4)     | Memory: 372.0 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(128, 3, 32, 32)     | Memory: 48.0 M | <class 'torch.Tensor'> | torch.float32
+ | 124 * Size:(128, 256, 8, 8)     | Memory: 992.0 M | <class 'torch.Tensor'> | torch.float32
+ | 31 * Size:(128, 512)           | Memory: 7.75 M | <class 'torch.Tensor'> | torch.float32
+ | 155 * Size:(128, 64, 32, 32)    | Memory: 4960.0 M | <class 'torch.Tensor'> | torch.float32
+ | 31 * Size:(128, 512, 1, 1)     | Memory: 7.75 M | <class 'torch.Tensor'> | torch.float32
+ | 124 * Size:(128, 128, 16, 16)   | Memory: 1984.0 M | <class 'torch.Tensor'> | torch.float32
- | 120 * Size:(128, 128, 16, 16)   | Memory: 1920.0 M | <class 'torch.Tensor'> | torch.float32
- | 30 * Size:(128, 512)           | Memory: 7.5 M | <class 'torch.Tensor'> | torch.float32
- | 90 * Size:(128, 512, 4, 4)     | Memory: 360.0 M | <class 'torch.Tensor'> | torch.float32
- | 120 * Size:(128, 256, 8, 8)     | Memory: 960.0 M | <class 'torch.Tensor'> | torch.float32
- | 31 * Size:(128, 3, 32, 32)     | Memory: 46.5 M | <class 'torch.Tensor'> | torch.float32
- | 150 * Size:(128, 64, 32, 32)    | Memory: 4800.0 M | <class 'torch.Tensor'> | torch.float32
- | 30 * Size:(128, 512, 1, 1)     | Memory: 7.5 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:8519.5 Mb Total Allocated Memory:8529.0 Mb

+ | 96 * Size:(128, 512, 4, 4)     | Memory: 384.0 M | <class 'torch.Tensor'> | torch.float32
+ | 160 * Size:(128, 64, 32, 32)    | Memory: 5120.0 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(128, 512, 1, 1)     | Memory: 8.0 M | <class 'torch.Tensor'> | torch.float32
+ | 128 * Size:(128, 256, 8, 8)     | Memory: 1024.0 M | <class 'torch.Tensor'> | torch.float32
+ | 33 * Size:(128, 3, 32, 32)     | Memory: 49.5 M | <class 'torch.Tensor'> | torch.float32
+ | 128 * Size:(128, 128, 16, 16)   | Memory: 2048.0 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(128, 512)           | Memory: 8.0 M | <class 'torch.Tensor'> | torch.float32
- | 93 * Size:(128, 512, 4, 4)     | Memory: 372.0 M | <class 'torch.Tensor'> | torch.float32
- | 32 * Size:(128, 3, 32, 32)     | Memory: 48.0 M | <class 'torch.Tensor'> | torch.float32
- | 124 * Size:(128, 256, 8, 8)     | Memory: 992.0 M | <class 'torch.Tensor'> | torch.float32
- | 31 * Size:(128, 512)           | Memory: 7.75 M | <class 'torch.Tensor'> | torch.float32
- | 155 * Size:(128, 64, 32, 32)    | Memory: 4960.0 M | <class 'torch.Tensor'> | torch.float32
- | 31 * Size:(128, 512, 1, 1)     | Memory: 7.75 M | <class 'torch.Tensor'> | torch.float32
- | 124 * Size:(128, 128, 16, 16)   | Memory: 1984.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:8789.5 Mb Total Allocated Memory:8799.2 Mb

+ | 132 * Size:(128, 128, 16, 16)   | Memory: 2112.0 M | <class 'torch.Tensor'> | torch.float32
+ | 165 * Size:(128, 64, 32, 32)    | Memory: 5280.0 M | <class 'torch.Tensor'> | torch.float32
+ | 33 * Size:(128, 512)           | Memory: 8.25 M | <class 'torch.Tensor'> | torch.float32
+ | 99 * Size:(128, 512, 4, 4)     | Memory: 396.0 M | <class 'torch.Tensor'> | torch.float32
+ | 132 * Size:(128, 256, 8, 8)     | Memory: 1056.0 M | <class 'torch.Tensor'> | torch.float32
+ | 34 * Size:(128, 3, 32, 32)     | Memory: 51.0 M | <class 'torch.Tensor'> | torch.float32
+ | 33 * Size:(128, 512, 1, 1)     | Memory: 8.25 M | <class 'torch.Tensor'> | torch.float32
- | 96 * Size:(128, 512, 4, 4)     | Memory: 384.0 M | <class 'torch.Tensor'> | torch.float32
- | 160 * Size:(128, 64, 32, 32)    | Memory: 5120.0 M | <class 'torch.Tensor'> | torch.float32
- | 32 * Size:(128, 512, 1, 1)     | Memory: 8.0 M | <class 'torch.Tensor'> | torch.float32
- | 128 * Size:(128, 256, 8, 8)     | Memory: 1024.0 M | <class 'torch.Tensor'> | torch.float32
- | 33 * Size:(128, 3, 32, 32)     | Memory: 49.5 M | <class 'torch.Tensor'> | torch.float32
- | 128 * Size:(128, 128, 16, 16)   | Memory: 2048.0 M | <class 'torch.Tensor'> | torch.float32
- | 32 * Size:(128, 512)           | Memory: 8.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:9059.5 Mb Total Allocated Memory:9069.5 Mb

+ | 34 * Size:(128, 512, 1, 1)     | Memory: 8.5 M | <class 'torch.Tensor'> | torch.float32
+ | 136 * Size:(128, 256, 8, 8)     | Memory: 1088.0 M | <class 'torch.Tensor'> | torch.float32
+ | 170 * Size:(128, 64, 32, 32)    | Memory: 5440.0 M | <class 'torch.Tensor'> | torch.float32
+ | 35 * Size:(128, 3, 32, 32)     | Memory: 52.5 M | <class 'torch.Tensor'> | torch.float32
+ | 102 * Size:(128, 512, 4, 4)     | Memory: 408.0 M | <class 'torch.Tensor'> | torch.float32
+ | 34 * Size:(128, 512)           | Memory: 8.5 M | <class 'torch.Tensor'> | torch.float32
+ | 136 * Size:(128, 128, 16, 16)   | Memory: 2176.0 M | <class 'torch.Tensor'> | torch.float32
- | 132 * Size:(128, 128, 16, 16)   | Memory: 2112.0 M | <class 'torch.Tensor'> | torch.float32
- | 165 * Size:(128, 64, 32, 32)    | Memory: 5280.0 M | <class 'torch.Tensor'> | torch.float32
- | 33 * Size:(128, 512)           | Memory: 8.25 M | <class 'torch.Tensor'> | torch.float32
- | 99 * Size:(128, 512, 4, 4)     | Memory: 396.0 M | <class 'torch.Tensor'> | torch.float32
- | 132 * Size:(128, 256, 8, 8)     | Memory: 1056.0 M | <class 'torch.Tensor'> | torch.float32
- | 34 * Size:(128, 3, 32, 32)     | Memory: 51.0 M | <class 'torch.Tensor'> | torch.float32
- | 33 * Size:(128, 512, 1, 1)     | Memory: 8.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:9329.5 Mb Total Allocated Memory:9339.7 Mb

+ | 35 * Size:(128, 512)           | Memory: 8.75 M | <class 'torch.Tensor'> | torch.float32
+ | 175 * Size:(128, 64, 32, 32)    | Memory: 5600.0 M | <class 'torch.Tensor'> | torch.float32
+ | 140 * Size:(128, 128, 16, 16)   | Memory: 2240.0 M | <class 'torch.Tensor'> | torch.float32
+ | 140 * Size:(128, 256, 8, 8)     | Memory: 1120.0 M | <class 'torch.Tensor'> | torch.float32
+ | 36 * Size:(128, 3, 32, 32)     | Memory: 54.0 M | <class 'torch.Tensor'> | torch.float32
+ | 35 * Size:(128, 512, 1, 1)     | Memory: 8.75 M | <class 'torch.Tensor'> | torch.float32
+ | 105 * Size:(128, 512, 4, 4)     | Memory: 420.0 M | <class 'torch.Tensor'> | torch.float32
- | 34 * Size:(128, 512, 1, 1)     | Memory: 8.5 M | <class 'torch.Tensor'> | torch.float32
- | 136 * Size:(128, 256, 8, 8)     | Memory: 1088.0 M | <class 'torch.Tensor'> | torch.float32
- | 170 * Size:(128, 64, 32, 32)    | Memory: 5440.0 M | <class 'torch.Tensor'> | torch.float32
- | 35 * Size:(128, 3, 32, 32)     | Memory: 52.5 M | <class 'torch.Tensor'> | torch.float32
- | 102 * Size:(128, 512, 4, 4)     | Memory: 408.0 M | <class 'torch.Tensor'> | torch.float32
- | 34 * Size:(128, 512)           | Memory: 8.5 M | <class 'torch.Tensor'> | torch.float32
- | 136 * Size:(128, 128, 16, 16)   | Memory: 2176.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:9599.5 Mb Total Allocated Memory:9610.0 Mb

+ | 180 * Size:(128, 64, 32, 32)    | Memory: 5760.0 M | <class 'torch.Tensor'> | torch.float32
+ | 36 * Size:(128, 512)           | Memory: 9.0 M | <class 'torch.Tensor'> | torch.float32
+ | 108 * Size:(128, 512, 4, 4)     | Memory: 432.0 M | <class 'torch.Tensor'> | torch.float32
+ | 144 * Size:(128, 128, 16, 16)   | Memory: 2304.0 M | <class 'torch.Tensor'> | torch.float32
+ | 36 * Size:(128, 512, 1, 1)     | Memory: 9.0 M | <class 'torch.Tensor'> | torch.float32
+ | 37 * Size:(128, 3, 32, 32)     | Memory: 55.5 M | <class 'torch.Tensor'> | torch.float32
+ | 144 * Size:(128, 256, 8, 8)     | Memory: 1152.0 M | <class 'torch.Tensor'> | torch.float32
- | 35 * Size:(128, 512)           | Memory: 8.75 M | <class 'torch.Tensor'> | torch.float32
- | 175 * Size:(128, 64, 32, 32)    | Memory: 5600.0 M | <class 'torch.Tensor'> | torch.float32
- | 140 * Size:(128, 128, 16, 16)   | Memory: 2240.0 M | <class 'torch.Tensor'> | torch.float32
- | 140 * Size:(128, 256, 8, 8)     | Memory: 1120.0 M | <class 'torch.Tensor'> | torch.float32
- | 36 * Size:(128, 3, 32, 32)     | Memory: 54.0 M | <class 'torch.Tensor'> | torch.float32
- | 35 * Size:(128, 512, 1, 1)     | Memory: 8.75 M | <class 'torch.Tensor'> | torch.float32
- | 105 * Size:(128, 512, 4, 4)     | Memory: 420.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:9869.5 Mb Total Allocated Memory:9880.2 Mb

+ | 148 * Size:(128, 256, 8, 8)     | Memory: 1184.0 M | <class 'torch.Tensor'> | torch.float32
+ | 111 * Size:(128, 512, 4, 4)     | Memory: 444.0 M | <class 'torch.Tensor'> | torch.float32
+ | 38 * Size:(128, 3, 32, 32)     | Memory: 57.0 M | <class 'torch.Tensor'> | torch.float32
+ | 185 * Size:(128, 64, 32, 32)    | Memory: 5920.0 M | <class 'torch.Tensor'> | torch.float32
+ | 37 * Size:(128, 512, 1, 1)     | Memory: 9.25 M | <class 'torch.Tensor'> | torch.float32
+ | 148 * Size:(128, 128, 16, 16)   | Memory: 2368.0 M | <class 'torch.Tensor'> | torch.float32
+ | 37 * Size:(128, 512)           | Memory: 9.25 M | <class 'torch.Tensor'> | torch.float32
- | 180 * Size:(128, 64, 32, 32)    | Memory: 5760.0 M | <class 'torch.Tensor'> | torch.float32
- | 36 * Size:(128, 512)           | Memory: 9.0 M | <class 'torch.Tensor'> | torch.float32
- | 108 * Size:(128, 512, 4, 4)     | Memory: 432.0 M | <class 'torch.Tensor'> | torch.float32
- | 144 * Size:(128, 128, 16, 16)   | Memory: 2304.0 M | <class 'torch.Tensor'> | torch.float32
- | 36 * Size:(128, 512, 1, 1)     | Memory: 9.0 M | <class 'torch.Tensor'> | torch.float32
- | 37 * Size:(128, 3, 32, 32)     | Memory: 55.5 M | <class 'torch.Tensor'> | torch.float32
- | 144 * Size:(128, 256, 8, 8)     | Memory: 1152.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:10139.5Mb Total Allocated Memory:10150.5Mb

+ | 39 * Size:(128, 3, 32, 32)     | Memory: 58.5 M | <class 'torch.Tensor'> | torch.float32
+ | 190 * Size:(128, 64, 32, 32)    | Memory: 6080.0 M | <class 'torch.Tensor'> | torch.float32
+ | 114 * Size:(128, 512, 4, 4)     | Memory: 456.0 M | <class 'torch.Tensor'> | torch.float32
+ | 152 * Size:(128, 128, 16, 16)   | Memory: 2432.0 M | <class 'torch.Tensor'> | torch.float32
+ | 152 * Size:(128, 256, 8, 8)     | Memory: 1216.0 M | <class 'torch.Tensor'> | torch.float32
+ | 38 * Size:(128, 512, 1, 1)     | Memory: 9.5 M | <class 'torch.Tensor'> | torch.float32
+ | 38 * Size:(128, 512)           | Memory: 9.5 M | <class 'torch.Tensor'> | torch.float32
- | 148 * Size:(128, 256, 8, 8)     | Memory: 1184.0 M | <class 'torch.Tensor'> | torch.float32
- | 111 * Size:(128, 512, 4, 4)     | Memory: 444.0 M | <class 'torch.Tensor'> | torch.float32
- | 38 * Size:(128, 3, 32, 32)     | Memory: 57.0 M | <class 'torch.Tensor'> | torch.float32
- | 185 * Size:(128, 64, 32, 32)    | Memory: 5920.0 M | <class 'torch.Tensor'> | torch.float32
- | 37 * Size:(128, 512, 1, 1)     | Memory: 9.25 M | <class 'torch.Tensor'> | torch.float32
- | 148 * Size:(128, 128, 16, 16)   | Memory: 2368.0 M | <class 'torch.Tensor'> | torch.float32
- | 37 * Size:(128, 512)           | Memory: 9.25 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:10409.5Mb Total Allocated Memory:10420.7Mb

+ | 156 * Size:(128, 256, 8, 8)     | Memory: 1248.0 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(128, 3, 32, 32)     | Memory: 60.0 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(128, 512, 1, 1)     | Memory: 9.75 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(128, 512)           | Memory: 9.75 M | <class 'torch.Tensor'> | torch.float32
+ | 195 * Size:(128, 64, 32, 32)    | Memory: 6240.0 M | <class 'torch.Tensor'> | torch.float32
+ | 117 * Size:(128, 512, 4, 4)     | Memory: 468.0 M | <class 'torch.Tensor'> | torch.float32
+ | 156 * Size:(128, 128, 16, 16)   | Memory: 2496.0 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(128, 3, 32, 32)     | Memory: 58.5 M | <class 'torch.Tensor'> | torch.float32
- | 190 * Size:(128, 64, 32, 32)    | Memory: 6080.0 M | <class 'torch.Tensor'> | torch.float32
- | 114 * Size:(128, 512, 4, 4)     | Memory: 456.0 M | <class 'torch.Tensor'> | torch.float32
- | 152 * Size:(128, 128, 16, 16)   | Memory: 2432.0 M | <class 'torch.Tensor'> | torch.float32
- | 152 * Size:(128, 256, 8, 8)     | Memory: 1216.0 M | <class 'torch.Tensor'> | torch.float32
- | 38 * Size:(128, 512, 1, 1)     | Memory: 9.5 M | <class 'torch.Tensor'> | torch.float32
- | 38 * Size:(128, 512)           | Memory: 9.5 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:10679.5Mb Total Allocated Memory:10691.0Mb

+ | 40 * Size:(128, 512, 1, 1)     | Memory: 10.0 M | <class 'torch.Tensor'> | torch.float32
+ | 200 * Size:(128, 64, 32, 32)    | Memory: 6400.0 M | <class 'torch.Tensor'> | torch.float32
+ | 160 * Size:(128, 256, 8, 8)     | Memory: 1280.0 M | <class 'torch.Tensor'> | torch.float32
+ | 160 * Size:(128, 128, 16, 16)   | Memory: 2560.0 M | <class 'torch.Tensor'> | torch.float32
+ | 120 * Size:(128, 512, 4, 4)     | Memory: 480.0 M | <class 'torch.Tensor'> | torch.float32
+ | 41 * Size:(128, 3, 32, 32)     | Memory: 61.5 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(128, 512)           | Memory: 10.0 M | <class 'torch.Tensor'> | torch.float32
- | 156 * Size:(128, 256, 8, 8)     | Memory: 1248.0 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(128, 3, 32, 32)     | Memory: 60.0 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(128, 512, 1, 1)     | Memory: 9.75 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(128, 512)           | Memory: 9.75 M | <class 'torch.Tensor'> | torch.float32
- | 195 * Size:(128, 64, 32, 32)    | Memory: 6240.0 M | <class 'torch.Tensor'> | torch.float32
- | 117 * Size:(128, 512, 4, 4)     | Memory: 468.0 M | <class 'torch.Tensor'> | torch.float32
- | 156 * Size:(128, 128, 16, 16)   | Memory: 2496.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:10949.5Mb Total Allocated Memory:10961.2Mb

+ | 164 * Size:(128, 128, 16, 16)   | Memory: 2624.0 M | <class 'torch.Tensor'> | torch.float32
+ | 42 * Size:(128, 3, 32, 32)     | Memory: 63.0 M | <class 'torch.Tensor'> | torch.float32
+ | 123 * Size:(128, 512, 4, 4)     | Memory: 492.0 M | <class 'torch.Tensor'> | torch.float32
+ | 205 * Size:(128, 64, 32, 32)    | Memory: 6560.0 M | <class 'torch.Tensor'> | torch.float32
+ | 41 * Size:(128, 512)           | Memory: 10.25 M | <class 'torch.Tensor'> | torch.float32
+ | 41 * Size:(128, 512, 1, 1)     | Memory: 10.25 M | <class 'torch.Tensor'> | torch.float32
+ | 164 * Size:(128, 256, 8, 8)     | Memory: 1312.0 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(128, 512, 1, 1)     | Memory: 10.0 M | <class 'torch.Tensor'> | torch.float32
- | 200 * Size:(128, 64, 32, 32)    | Memory: 6400.0 M | <class 'torch.Tensor'> | torch.float32
- | 160 * Size:(128, 256, 8, 8)     | Memory: 1280.0 M | <class 'torch.Tensor'> | torch.float32
- | 160 * Size:(128, 128, 16, 16)   | Memory: 2560.0 M | <class 'torch.Tensor'> | torch.float32
- | 120 * Size:(128, 512, 4, 4)     | Memory: 480.0 M | <class 'torch.Tensor'> | torch.float32
- | 41 * Size:(128, 3, 32, 32)     | Memory: 61.5 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(128, 512)           | Memory: 10.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:11219.5Mb Total Allocated Memory:11231.5Mb

+ | 168 * Size:(128, 256, 8, 8)     | Memory: 1344.0 M | <class 'torch.Tensor'> | torch.float32
+ | 126 * Size:(128, 512, 4, 4)     | Memory: 504.0 M | <class 'torch.Tensor'> | torch.float32
+ | 210 * Size:(128, 64, 32, 32)    | Memory: 6720.0 M | <class 'torch.Tensor'> | torch.float32
+ | 43 * Size:(128, 3, 32, 32)     | Memory: 64.5 M | <class 'torch.Tensor'> | torch.float32
+ | 42 * Size:(128, 512)           | Memory: 10.5 M | <class 'torch.Tensor'> | torch.float32
+ | 42 * Size:(128, 512, 1, 1)     | Memory: 10.5 M | <class 'torch.Tensor'> | torch.float32
+ | 168 * Size:(128, 128, 16, 16)   | Memory: 2688.0 M | <class 'torch.Tensor'> | torch.float32
- | 164 * Size:(128, 128, 16, 16)   | Memory: 2624.0 M | <class 'torch.Tensor'> | torch.float32
- | 42 * Size:(128, 3, 32, 32)     | Memory: 63.0 M | <class 'torch.Tensor'> | torch.float32
- | 123 * Size:(128, 512, 4, 4)     | Memory: 492.0 M | <class 'torch.Tensor'> | torch.float32
- | 205 * Size:(128, 64, 32, 32)    | Memory: 6560.0 M | <class 'torch.Tensor'> | torch.float32
- | 41 * Size:(128, 512)           | Memory: 10.25 M | <class 'torch.Tensor'> | torch.float32
- | 41 * Size:(128, 512, 1, 1)     | Memory: 10.25 M | <class 'torch.Tensor'> | torch.float32
- | 164 * Size:(128, 256, 8, 8)     | Memory: 1312.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:11489.5Mb Total Allocated Memory:11501.7Mb

+ | 172 * Size:(128, 128, 16, 16)   | Memory: 2752.0 M | <class 'torch.Tensor'> | torch.float32
+ | 43 * Size:(128, 512)           | Memory: 10.75 M | <class 'torch.Tensor'> | torch.float32
+ | 215 * Size:(128, 64, 32, 32)    | Memory: 6880.0 M | <class 'torch.Tensor'> | torch.float32
+ | 43 * Size:(128, 512, 1, 1)     | Memory: 10.75 M | <class 'torch.Tensor'> | torch.float32
+ | 172 * Size:(128, 256, 8, 8)     | Memory: 1376.0 M | <class 'torch.Tensor'> | torch.float32
+ | 129 * Size:(128, 512, 4, 4)     | Memory: 516.0 M | <class 'torch.Tensor'> | torch.float32
+ | 44 * Size:(128, 3, 32, 32)     | Memory: 66.0 M | <class 'torch.Tensor'> | torch.float32
- | 168 * Size:(128, 256, 8, 8)     | Memory: 1344.0 M | <class 'torch.Tensor'> | torch.float32
- | 126 * Size:(128, 512, 4, 4)     | Memory: 504.0 M | <class 'torch.Tensor'> | torch.float32
- | 210 * Size:(128, 64, 32, 32)    | Memory: 6720.0 M | <class 'torch.Tensor'> | torch.float32
- | 43 * Size:(128, 3, 32, 32)     | Memory: 64.5 M | <class 'torch.Tensor'> | torch.float32
- | 42 * Size:(128, 512)           | Memory: 10.5 M | <class 'torch.Tensor'> | torch.float32
- | 42 * Size:(128, 512, 1, 1)     | Memory: 10.5 M | <class 'torch.Tensor'> | torch.float32
- | 168 * Size:(128, 128, 16, 16)   | Memory: 2688.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:11759.5Mb Total Allocated Memory:11772.0Mb

+ | 176 * Size:(128, 128, 16, 16)   | Memory: 2816.0 M | <class 'torch.Tensor'> | torch.float32
+ | 220 * Size:(128, 64, 32, 32)    | Memory: 7040.0 M | <class 'torch.Tensor'> | torch.float32
+ | 44 * Size:(128, 512)           | Memory: 11.0 M | <class 'torch.Tensor'> | torch.float32
+ | 45 * Size:(128, 3, 32, 32)     | Memory: 67.5 M | <class 'torch.Tensor'> | torch.float32
+ | 44 * Size:(128, 512, 1, 1)     | Memory: 11.0 M | <class 'torch.Tensor'> | torch.float32
+ | 132 * Size:(128, 512, 4, 4)     | Memory: 528.0 M | <class 'torch.Tensor'> | torch.float32
+ | 176 * Size:(128, 256, 8, 8)     | Memory: 1408.0 M | <class 'torch.Tensor'> | torch.float32
- | 172 * Size:(128, 128, 16, 16)   | Memory: 2752.0 M | <class 'torch.Tensor'> | torch.float32
- | 43 * Size:(128, 512)           | Memory: 10.75 M | <class 'torch.Tensor'> | torch.float32
- | 215 * Size:(128, 64, 32, 32)    | Memory: 6880.0 M | <class 'torch.Tensor'> | torch.float32
- | 43 * Size:(128, 512, 1, 1)     | Memory: 10.75 M | <class 'torch.Tensor'> | torch.float32
- | 172 * Size:(128, 256, 8, 8)     | Memory: 1376.0 M | <class 'torch.Tensor'> | torch.float32
- | 129 * Size:(128, 512, 4, 4)     | Memory: 516.0 M | <class 'torch.Tensor'> | torch.float32
- | 44 * Size:(128, 3, 32, 32)     | Memory: 66.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:12029.5Mb Total Allocated Memory:12042.2Mb

+ | 135 * Size:(128, 512, 4, 4)     | Memory: 540.0 M | <class 'torch.Tensor'> | torch.float32
+ | 45 * Size:(128, 512, 1, 1)     | Memory: 11.25 M | <class 'torch.Tensor'> | torch.float32
+ | 180 * Size:(128, 256, 8, 8)     | Memory: 1440.0 M | <class 'torch.Tensor'> | torch.float32
